client_name,glue_opcode,nobs,glue_runtime_ms,p_value,rsquared
besu,ISZERO,0,,,
besu,JUMPDEST,0,,,
besu,SWAP,0,,,
besu,CALLDATASIZE,44,0.0,1.0,0.9405744483064804
besu,DUP,44,0.0,1.0,0.9405744483064804
besu,GAS,44,0.0,1.0,0.9405744483064804
besu,MLOAD,44,0.0,1.0,0.9405744483064804
besu,PUSH,44,8.75387879552354e-05,0.007,0.9405744483064804
besu,PUSH0,44,0.0,1.0,0.9405744483064804
besu,STATICCALL,44,0.0,1.0,0.9405744483064804
besu,ADD,0,,,
besu,AND,0,,,
besu,CALLDATACOPY,0,,,
besu,CALLDATALOAD,0,,,
besu,DIV,0,,,
besu,EXP,0,,,
besu,GT,0,,,
besu,JUMPI,0,,,
besu,LT,0,,,
besu,MSTORE,0,,,
besu,MSTORE8,0,,,
besu,MUL,0,,,
besu,PC,0,,,
besu,RETURNDATASIZE,0,,,
besu,SELFBALANCE,0,,,
besu,SUB,0,,,
besu,JUMP,0,,,
besu,KECCAK256,0,,,
erigon,ISZERO,120,0.0,1.0,0.0
erigon,JUMPDEST,30,0.0,1.0,-2.220446049250313e-16
erigon,SWAP,2145,0.0,1.0,0.0
erigon,CALLDATASIZE,7541,6.127851527113945e-07,0.028,0.01725143228221948
erigon,DUP,7541,0.0,1.0,0.01725143228221948
erigon,GAS,7541,7.078139595121975e-08,0.486,0.01725143228221948
erigon,MLOAD,7541,1.3044580007398754e-05,0.001,0.01725143228221948
erigon,PUSH,7541,0.0,1.0,0.01725143228221948
erigon,PUSH0,7541,0.0,1.0,0.01725143228221948
erigon,STATICCALL,7541,0.0,1.0,0.01725143228221948
erigon,ADD,135,0.0,1.0,0.0
erigon,AND,120,0.0,1.0,2.220446049250313e-16
erigon,CALLDATACOPY,3525,0.0,1.0,0.0
erigon,CALLDATALOAD,660,4.51428173732392e-05,0.001,0.14918019370982472
erigon,DIV,165,0.0,1.0,0.0
erigon,EXP,165,0.000359593383938391,0.001,0.9076433698562589
erigon,GT,120,0.0,1.0,0.0
erigon,JUMPI,165,0.0,1.0,0.0
erigon,LT,120,0.0,1.0,-2.220446049250313e-16
erigon,MSTORE,675,0.0,1.0,-2.220446049250313e-16
erigon,MSTORE8,675,0.0,1.0,1.1102230246251565e-16
erigon,MUL,150,0.0,1.0,2.220446049250313e-16
erigon,PC,90,9.900959438826901e-06,0.001,0.6038660654840907
erigon,RETURNDATASIZE,360,1.7497540282323843e-05,0.001,0.2854970201995817
erigon,SELFBALANCE,165,0.0,1.0,0.0
erigon,SUB,120,0.0,1.0,0.0
erigon,JUMP,150,0.0,1.0,0.0
erigon,KECCAK256,2640,1.3837590177515057e-05,0.001,0.03929786363045307
ethrex,ISZERO,48,0.0,1.0,0.0
ethrex,JUMPDEST,12,0.0,1.0,0.0
ethrex,SWAP,858,0.0,1.0,0.0
ethrex,CALLDATASIZE,3012,6.130411928991114e-06,0.001,0.1536816978952198
ethrex,DUP,3012,0.0,1.0,0.1536816978952198
ethrex,GAS,3012,6.774870491608056e-06,0.001,0.1536816978952198
ethrex,MLOAD,3012,4.624243569063872e-06,0.001,0.1536816978952198
ethrex,PUSH,3012,0.0,1.0,0.1536816978952198
ethrex,PUSH0,3012,1.4819313854561763e-06,0.052,0.1536816978952198
ethrex,STATICCALL,3012,0.0,1.0,0.1536816978952198
ethrex,ADD,54,0.0,1.0,0.0
ethrex,AND,48,0.0,1.0,0.0
ethrex,CALLDATACOPY,1410,0.0,1.0,0.0
ethrex,CALLDATALOAD,264,1.632007206935507e-05,0.001,0.22773465048056507
ethrex,DIV,66,0.0,1.0,0.0
ethrex,EXP,66,0.0009137550596684677,0.001,0.8455298129648339
ethrex,GT,48,0.0,1.0,0.0
ethrex,JUMPI,66,0.0,1.0,0.0
ethrex,LT,48,0.0,1.0,0.0
ethrex,MSTORE,270,0.0,1.0,0.0
ethrex,MSTORE8,270,0.0,1.0,0.0
ethrex,MUL,60,0.0,1.0,0.0
ethrex,PC,36,5.576819596841469e-06,0.001,0.45128814376656257
ethrex,RETURNDATASIZE,144,8.12847853786762e-06,0.001,0.33843275629948055
ethrex,SELFBALANCE,66,0.0,1.0,2.220446049250313e-16
ethrex,SUB,48,0.0,1.0,0.0
ethrex,JUMP,60,0.0,1.0,2.220446049250313e-16
ethrex,KECCAK256,1056,0.0,1.0,0.0
geth,ISZERO,216,0.0,1.0,0.0
geth,JUMPDEST,54,0.0,1.0,2.220446049250313e-16
geth,SWAP,3861,0.0,1.0,0.0
geth,CALLDATASIZE,13641,4.356017452549721e-06,0.001,0.09551458521591316
geth,DUP,13641,0.0,1.0,0.09551458521591316
geth,GAS,13641,5.536384778491011e-06,0.001,0.09551458521591316
geth,MLOAD,13641,8.976078078348557e-06,0.001,0.09551458521591316
geth,PUSH,13641,0.0,1.0,0.09551458521591316
geth,PUSH0,13641,0.0,1.0,0.09551458521591316
geth,STATICCALL,13641,8.976609301160336e-05,0.001,0.09551458521591316
geth,ADD,243,0.0,1.0,0.0
geth,AND,216,0.0,1.0,-2.220446049250313e-16
geth,CALLDATACOPY,6345,0.0,1.0,0.0
