client_name,glue_opcode,nobs,glue_runtime_ms,p_value,rsquared
besu,ISZERO,209,5.1465097860057856e-06,0.001,0.8807427933073533
besu,JUMPDEST,209,2.614335625384658e-06,0.001,0.8797217178686718
besu,SWAP,3344,3.6256635572729836e-06,0.001,0.8523353421380403
besu,CALLDATASIZE,12386,4.25837317945297e-06,0.001,0.9303800461219174
besu,DUP,12386,2.5131517553229744e-06,0.001,0.9303800461219174
besu,GAS,12386,3.6993642307222914e-06,0.001,0.9303800461219174
besu,MLOAD,12386,1.0879596561231043e-05,0.001,0.9303800461219174
besu,PUSH,12386,3.192641756706427e-06,0.001,0.9303800461219174
besu,PUSH0,12386,2.503815997920572e-06,0.001,0.9303800461219174
besu,STATICCALL,12386,0.0009023971375088132,0.001,0.9303800461219174
besu,ADD,209,1.1036475364157086e-05,0.001,0.8732483965084651
besu,AND,209,9.901237317606795e-06,0.001,0.881876457498788
besu,CALLDATACOPY,5016,2.13458254744511e-05,0.001,0.8029731058028247
besu,CALLDATALOAD,836,6.1515308448621e-06,0.132,0.0011880562444964715
besu,DIV,209,1.7204179026191776e-05,0.001,0.8650438064525034
besu,EXP,209,0.0011442380101134501,0.001,0.8406686158329515
besu,GT,209,3.308664512630791e-05,0.001,0.896333676457748
besu,JUMPI,209,1.0003419498243563e-05,0.001,0.8838647600641142
besu,LT,209,3.367079930928018e-05,0.001,0.9037591234859177
besu,MSTORE,1045,1.7874441417411516e-05,0.001,0.8635184933156392
besu,MSTORE8,1045,1.244058577662508e-05,0.001,0.8571512789993226
besu,MUL,209,1.3601937951807933e-05,0.001,0.5931563253020555
besu,PC,209,4.23191574937419e-06,0.001,0.8665209237528411
besu,RETURNDATASIZE,836,7.028080579119938e-06,0.001,0.859587826985661
besu,SELFBALANCE,171,7.622284438467649e-06,0.001,0.5194240177743801
besu,SUB,209,1.0982336302291224e-05,0.001,0.8722677689534688
besu,JUMP,209,4.708990336509646e-05,0.001,0.8741859725671612
