client_name,glue_opcode,nobs,glue_runtime_ms,p_value,rsquared
besu,ISZERO,3300,3.0717774221049364e-06,0.001,0.7960756309146746
besu,JUMPDEST,3300,7.372222672215547e-07,0.001,0.45022869925416564
besu,SWAP,52800,2.6272034832018107e-06,0.001,0.37411250529454154
besu,CALLDATASIZE,195107,2.757648668149144e-06,0.001,0.9198197661504686
besu,DUP,195107,1.124195859430155e-06,0.001,0.9198197661504686
besu,GAS,195107,2.335898875975836e-06,0.001,0.9198197661504686
besu,MLOAD,195107,8.406749555580538e-06,0.001,0.9198197661504686
besu,PUSH,195107,1.7479210823949012e-06,0.001,0.9198197661504686
besu,PUSH0,195107,9.08267479869702e-07,0.001,0.9198197661504686
besu,STATICCALL,195107,0.0007178843837426259,0.001,0.9198197661504686
besu,ADD,3300,8.092463296955782e-06,0.001,0.8246882179720381
besu,AND,3300,5.654725235685637e-06,0.001,0.8514808509653478
besu,CALLDATACOPY,79200,1.2991708978450907e-05,0.001,0.6349986820987632
besu,CALLDATALOAD,13200,0.0,1.0,2.220446049250313e-16
besu,DIV,3300,1.2649439072469287e-05,0.001,0.7889728340817662
besu,EXP,3300,0.0010179168016261374,0.001,0.7552280107032837
besu,GT,3300,1.8187849677448396e-05,0.001,0.14402401447751756
besu,JUMPI,3300,4.781289967986332e-06,0.001,0.7293971609264955
besu,LT,3300,1.8377168370109207e-05,0.001,0.1448834610748827
besu,MSTORE,16500,1.383787560329258e-05,0.001,0.7908116470819737
besu,MSTORE8,16500,8.616144411237094e-06,0.001,0.8287757260208906
besu,MUL,3300,1.064044653772739e-05,0.001,0.7991541003116793
besu,PC,3300,2.7391512070641654e-06,0.001,0.8453367950590601
besu,RETURNDATASIZE,13200,4.02909598909784e-06,0.001,0.7359755362435745
besu,SELFBALANCE,2700,9.67797213847481e-06,0.001,0.6837282297538474
besu,SUB,3300,8.47838641107955e-06,0.001,0.8174606896135569
besu,JUMP,3300,4.012153699051577e-05,0.001,0.8373300850795228
besu,KECCAK256,52800,3.5172917243341544e-05,0.001,0.151130212684223
erigon,ISZERO,198,1.1064394654122086e-06,0.001,0.5336632643638404
erigon,JUMPDEST,198,7.668670628727181e-07,0.001,0.9205922336991349
erigon,SWAP,3168,1.2313873639913479e-06,0.001,0.6369149966691022
erigon,CALLDATASIZE,11847,8.5841560246853e-07,0.001,0.8972399785296549
erigon,DUP,11847,1.0838201991039735e-06,0.001,0.8972399785296549
erigon,GAS,11847,8.944567078899976e-07,0.001,0.8972399785296549
erigon,MLOAD,11847,3.4026203681969708e-06,0.001,0.8972399785296549
erigon,PUSH,11847,2.695717240159973e-06,0.001,0.8972399785296549
erigon,PUSH0,11847,8.960745678113994e-07,0.001,0.8972399785296549
erigon,STATICCALL,11847,0.000479912615729316,0.001,0.8972399785296549
erigon,ADD,198,2.659391661607667e-06,0.001,0.5691480600444228
erigon,AND,198,3.25192176824003e-06,0.001,0.613684679891138
erigon,CALLDATACOPY,4752,7.500676979851695e-06,0.001,0.8147173439157838
erigon,CALLDATALOAD,792,0.0001792172291235829,0.001,0.005246119971530239
erigon,DIV,198,9.675645333687368e-06,0.001,0.8841365365638012
erigon,EXP,198,0.0003752319562563079,0.001,0.17434492774261778
erigon,GT,198,2.7923739551050497e-06,0.001,0.9260025111766158
erigon,JUMPI,198,4.11566633531226e-06,0.001,0.28437814718030885
erigon,LT,198,2.8547239901075223e-06,0.001,0.918954354722412
erigon,MSTORE,990,5.665105866582202e-06,0.001,0.8399205434247482
erigon,MSTORE8,990,5.2586789830899175e-06,0.001,0.6611089349214381
erigon,MUL,198,3.3074318767241296e-06,0.001,0.6341461138160798
erigon,PC,198,1.3066299969237295e-06,0.001,0.6537536862647959
erigon,RETURNDATASIZE,792,1.733925376393154e-06,0.001,0.5990056689629064
erigon,SELFBALANCE,162,1.3542678232892655e-06,0.001,0.8539820508454796
erigon,SUB,198,2.795264010901846e-06,0.001,0.5603981746675314
erigon,JUMP,198,7.139011034737819e-06,0.001,0.7659423979869275
erigon,KECCAK256,3168,1.828063282702932e-05,0.001,0.06336701086780328
ethrex,ISZERO,286,5.08876888133311e-07,0.001,0.8483811860981104
ethrex,JUMPDEST,286,3.2709767467685936e-07,0.001,0.8394970397982586
ethrex,SWAP,4576,7.215534851850853e-07,0.001,0.7974016248306802
ethrex,CALLDATASIZE,17149,4.6574512810734666e-07,0.001,0.9306941597331104
ethrex,DUP,17149,4.6909453433116967e-07,0.001,0.9306941597331104
ethrex,GAS,17149,4.633245049307467e-07,0.001,0.9306941597331104
ethrex,MLOAD,17149,1.1282987264830897e-06,0.001,0.9306941597331104
ethrex,PUSH,17149,4.90154738891954e-07,0.001,0.9306941597331104
ethrex,PUSH0,17149,4.4093697825401864e-07,0.001,0.9306941597331104
ethrex,STATICCALL,17149,0.00010937250968813901,0.001,0.9306941597331104
ethrex,ADD,286,1.0740535148079614e-06,0.001,0.8358468690529709
ethrex,AND,286,1.010454575958995e-06,0.001,0.8102948985590903
ethrex,CALLDATACOPY,6864,2.436851503719287e-06,0.001,0.8624660263048561
ethrex,CALLDATALOAD,1144,2.081531507397155e-05,0.001,0.23117699117508428
ethrex,DIV,286,9.410285470855447e-06,0.001,0.8421423708910988
ethrex,EXP,286,0.0009095591282515964,0.001,0.8215258254859842
ethrex,GT,286,1.146087258348548e-06,0.001,0.8409447055848683
ethrex,JUMPI,286,1.4375322815677123e-06,0.001,0.8105505370213388
ethrex,LT,286,9.071095663200774e-07,0.001,0.8302581547682674
ethrex,MSTORE,1430,1.731489520304037e-06,0.001,0.8136958982830123
ethrex,MSTORE8,1430,1.5987419869274143e-06,0.001,0.8193995190266125
ethrex,MUL,286,1.3557959704808218e-06,0.001,0.7892273488241416
ethrex,PC,286,5.414692039399025e-07,0.001,0.8196795340965947
ethrex,RETURNDATASIZE,1144,9.056632301371295e-07,0.001,0.8408556752463774
ethrex,SELFBALANCE,234,4.793357480352687e-06,0.001,0.8187689039567363
ethrex,SUB,286,1.0649405889323118e-06,0.001,0.8151057059314408
ethrex,JUMP,286,4.304373460844836e-06,0.001,0.829499343862242
ethrex,KECCAK256,4576,0.0,1.0,0.0
geth,ISZERO,2068,1.4292636210387891e-06,0.001,0.7750387035663577
geth,JUMPDEST,2068,1.1542465179392818e-06,0.001,0.7632535760927758
geth,SWAP,33088,1.5142755958902892e-06,0.001,0.7633975466393712
geth,CALLDATASIZE,122254,1.418801216548331e-06,0.001,0.8168991979721515
geth,DUP,122254,1.5282727138728305e-06,0.001,0.8168991979721515
