gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.0217821034604164,0.020992038542143193,0.022493156764223574,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,1633.6577595312299,1634
COLD_STORAGE_WRITE,erigon,0.22802386691330054,0.22397285781839807,0.2319087680894952,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,17101.79001849754,17102
WARM_ACCESS,nethermind,0.0004683072042543697,0.0004250767505009297,0.0005111149595404872,test_ext_account_query_warm,DELEGATECALL,target_coef,0.0,,,DELEGATECALL,35.12304031907773,36
COLD_ACCOUNT_NOCODE_ACCESS,erigon,0.1055876562223323,0.1035750972259545,0.10777933868976583,test_account_access,STATICCALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,STATICCALL,7919.074216674922,7920
COLD_ACCOUNT_NOCODE_WRITE,erigon,0.27228310175279513,0.2649671894640882,0.279039652335958,test_account_access,CALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,20421.232631459636,20422
COLD_ACCOUNT_CODE_ACCESS,erigon,0.14710723101876422,0.13338903837824667,0.15830968060384742,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT_DIFF_MAX,,CALL,11033.042326407318,11034
COLD_ACCOUNT_CODE_WRITE,erigon,0.2751546918532297,0.2624165398859689,0.28671544264147203,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT_DIFF_MAX,,CALL,20636.601888992227,20637
STORAGE_WRITE,,,,,,,,0.0,,,,15468.0,15468
ACCOUNT_WRITE,,,,,,,,0.0,,,,12502.0,12502
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,16417.92,16418
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,1634.0,1634
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,11034.0,11034
