client_name,glue_opcode,nobs,glue_runtime_ms,p_value,rsquared
besu,ISZERO,352,0.0,1.0,0.0
besu,JUMPDEST,88,0.0,1.0,0.0
besu,SWAP,6292,0.0,1.0,3.3306690738754696e-16
besu,CALLDATASIZE,22220,5.425407869682714e-05,0.001,0.6428584502067632
besu,DUP,22220,0.0,1.0,0.6428584502067632
besu,GAS,22220,4.613682242820029e-05,0.001,0.6428584502067632
besu,MLOAD,22220,7.030731567483685e-05,0.001,0.6428584502067632
besu,PUSH,22220,0.0,1.0,0.6428584502067632
besu,PUSH0,22220,0.0,1.0,0.6428584502067632
besu,STATICCALL,22220,0.00046947920465662896,0.001,0.6428584502067632
besu,ADD,396,0.0,1.0,2.220446049250313e-16
besu,AND,352,0.0,1.0,0.0
besu,CALLDATACOPY,10340,0.0,1.0,-2.220446049250313e-16
besu,CALLDATALOAD,1936,0.0,1.0,2.220446049250313e-16
besu,DIV,484,0.0,1.0,0.0
besu,EXP,484,0.0009759561841374058,0.001,0.6428601680103702
besu,GT,352,0.0,1.0,0.0
besu,JUMPI,484,0.0,1.0,-2.220446049250313e-16
besu,LT,352,0.0,1.0,0.0
besu,MSTORE,1980,0.0,1.0,-2.220446049250313e-16
besu,MSTORE8,1980,0.0,1.0,0.0
besu,MUL,440,0.0,1.0,0.0
besu,PC,264,2.3242086503957293e-05,0.001,0.36548515500592094
besu,RETURNDATASIZE,1056,3.3325955646120496e-05,0.001,0.36019499991418313
besu,SELFBALANCE,484,0.0,1.0,0.0
besu,SUB,352,0.0,1.0,0.0
besu,JUMP,440,0.0,1.0,0.0
besu,KECCAK256,0,,,
erigon,ISZERO,392,0.0,1.0,0.0
erigon,JUMPDEST,98,0.0,1.0,0.0
erigon,SWAP,7007,0.0,1.0,0.0
erigon,CALLDATASIZE,24653,1.141542985492186e-06,0.001,0.022600460403887634
erigon,DUP,24653,0.0,1.0,0.022600460403887634
erigon,GAS,24653,9.40295367083281e-07,0.004,0.022600460403887634
erigon,MLOAD,24653,1.466432362592092e-05,0.001,0.022600460403887634
erigon,PUSH,24653,0.0,1.0,0.022600460403887634
erigon,PUSH0,24653,0.0,1.0,0.022600460403887634
erigon,STATICCALL,24653,0.0,1.0,0.022600460403887634
erigon,ADD,441,0.0,1.0,0.0
erigon,AND,392,0.0,1.0,0.0
erigon,CALLDATACOPY,11515,0.0,1.0,0.0
erigon,CALLDATALOAD,2156,7.485511788211373e-05,0.001,0.2324791642343269
erigon,DIV,539,0.0,1.0,0.0
erigon,EXP,539,0.000369245623445053,0.001,0.921184476959664
erigon,GT,392,0.0,1.0,0.0
erigon,JUMPI,539,0.0,1.0,0.0
erigon,LT,392,0.0,1.0,0.0
erigon,MSTORE,2205,0.0,1.0,0.0
erigon,MSTORE8,2205,0.0,1.0,0.0
erigon,MUL,490,0.0,1.0,2.220446049250313e-16
erigon,PC,294,1.0604412785707554e-05,0.001,0.6130147202662302
erigon,RETURNDATASIZE,1176,1.7257972794749618e-05,0.001,0.23771831284801603
erigon,SELFBALANCE,539,0.0,1.0,0.0
erigon,SUB,392,0.0,1.0,0.0
erigon,JUMP,490,0.0,1.0,0.0
erigon,KECCAK256,0,,,
ethrex,ISZERO,64,0.0,1.0,-2.220446049250313e-16
ethrex,JUMPDEST,16,0.0,1.0,0.0
ethrex,SWAP,1144,0.0,1.0,0.0
ethrex,CALLDATASIZE,4093,6.001826259127265e-06,0.001,0.6693195867963897
ethrex,DUP,4093,0.0,1.0,0.6693195867963897
ethrex,GAS,4093,7.635466385822601e-06,0.001,0.6693195867963897
ethrex,MLOAD,4093,5.574891658642637e-06,0.001,0.6693195867963897
ethrex,PUSH,4093,0.0,1.0,0.6693195867963897
ethrex,PUSH0,4093,2.266101817922687e-06,0.01,0.6693195867963897
ethrex,STATICCALL,4093,7.628837271188958e-05,0.001,0.6693195867963897
ethrex,ADD,72,0.0,1.0,0.0
ethrex,AND,64,0.0,1.0,0.0
ethrex,CALLDATACOPY,1880,0.0,1.0,-2.220446049250313e-16
ethrex,CALLDATALOAD,352,1.4726795564539157e-05,0.001,0.11608821875341169
ethrex,DIV,88,0.0,1.0,0.0
ethrex,EXP,88,0.0009121668047327727,0.001,0.8327483354050513
ethrex,GT,64,0.0,1.0,0.0
ethrex,JUMPI,88,0.0,1.0,2.220446049250313e-16
ethrex,LT,64,0.0,1.0,0.0
ethrex,MSTORE,360,0.0,1.0,0.0
ethrex,MSTORE8,360,0.0,1.0,0.0
ethrex,MUL,80,0.0,1.0,2.220446049250313e-16
ethrex,PC,48,4.213868138627173e-06,0.001,0.31718314610342413
ethrex,RETURNDATASIZE,192,8.253110820788322e-06,0.001,0.39378502696117845
ethrex,SELFBALANCE,88,0.0,1.0,1.1102230246251565e-16
ethrex,SUB,64,0.0,1.0,0.0
ethrex,JUMP,80,0.0,1.0,-2.220446049250313e-16
ethrex,KECCAK256,0,,,
geth,ISZERO,1176,0.0,1.0,1.1102230246251565e-16
geth,JUMPDEST,294,0.0,1.0,0.0
geth,SWAP,21021,0.0,1.0,0.0
geth,CALLDATASIZE,73893,4.463096313330255e-06,0.001,0.02641650312061472
geth,DUP,73893,0.0,1.0,0.02641650312061472
geth,GAS,73893,5.865295989593553e-06,0.001,0.02641650312061472
geth,MLOAD,73893,8.551734052325109e-06,0.001,0.02641650312061472
geth,PUSH,73893,0.0,1.0,0.02641650312061472
geth,PUSH0,73893,0.0,1.0,0.02641650312061472
geth,STATICCALL,73893,6.768100596341149e-05,0.001,0.02641650312061472
geth,ADD,1323,0.0,1.0,0.0
geth,AND,1176,0.0,1.0,0.0
geth,CALLDATACOPY,34545,0.0,1.0,1.1102230246251565e-16
geth,CALLDATALOAD,6468,3.7035603721957836e-05,0.001,0.12309086393964652
geth,DIV,1617,0.0,1.0,-2.220446049250313e-16
geth,EXP,1617,0.00031233833320040136,0.001,0.8068065564209064
geth,GT,1176,0.0,1.0,0.0
geth,JUMPI,1617,0.0,1.0,-2.220446049250313e-16
geth,LT,1176,0.0,1.0,-2.220446049250313e-16
geth,MSTORE,6615,0.0,1.0,2.220446049250313e-16
geth,MSTORE8,6615,0.0,1.0,0.0
geth,MUL,1470,0.0,1.0,0.0
geth,PC,882,6.90742868172569e-06,0.001,0.28866969783100405
geth,RETURNDATASIZE,3528,1.2117911661836684e-05,0.001,0.16760891175624215
geth,SELFBALANCE,1617,0.0,1.0,0.0
geth,SUB,1176,0.0,1.0,0.0
geth,JUMP,1470,0.0,1.0,0.0
geth,KECCAK256,0,,,
nethermind,ISZERO,1376,0.0,1.0,0.0
