client_name,glue_opcode,nobs,glue_runtime_ms,p_value,rsquared
besu,ISZERO,0,,,
besu,JUMPDEST,0,,,
besu,SWAP,0,,,
besu,CALLDATASIZE,110,0.0,1.0,0.9102239897026149
besu,DUP,110,0.0,1.0,0.9102239897026149
besu,GAS,110,0.0,1.0,0.9102239897026149
besu,MLOAD,110,0.0,1.0,0.9102239897026149
besu,PUSH,110,8.585012409041431e-05,0.001,0.9102239897026149
besu,PUSH0,110,0.0,1.0,0.9102239897026149
besu,STATICCALL,110,0.0,1.0,0.9102239897026149
besu,ADD,0,,,
besu,AND,0,,,
besu,CALLDATACOPY,0,,,
besu,CALLDATALOAD,0,,,
besu,DIV,0,,,
besu,EXP,0,,,
besu,GT,0,,,
besu,JUMPI,0,,,
besu,LT,0,,,
besu,MSTORE,0,,,
besu,MSTORE8,0,,,
besu,MUL,0,,,
besu,PC,0,,,
besu,RETURNDATASIZE,0,,,
besu,SELFBALANCE,0,,,
besu,SUB,0,,,
besu,JUMP,0,,,
besu,KECCAK256,0,,,
erigon,ISZERO,8,0.0,1.0,0.0
erigon,JUMPDEST,2,0.0,1.0,0.0
erigon,SWAP,143,0.0,1.0,-2.220446049250313e-16
erigon,CALLDATASIZE,590,8.824886581941836e-07,0.258,0.0037346876109044524
erigon,DUP,590,0.0,1.0,0.0037346876109044524
erigon,GAS,590,0.0,1.0,0.0037346876109044524
erigon,MLOAD,590,3.7079597844140684e-06,0.051,0.0037346876109044524
erigon,PUSH,590,0.0,1.0,0.0037346876109044524
erigon,PUSH0,590,0.0,1.0,0.0037346876109044524
erigon,STATICCALL,590,0.0,1.0,0.0037346876109044524
erigon,ADD,9,0.0,1.0,0.0
erigon,AND,8,0.0,1.0,0.0
erigon,CALLDATACOPY,235,0.0,1.0,0.0
erigon,CALLDATALOAD,44,4.410157327090992e-05,0.001,0.33577411081065023
erigon,DIV,11,0.0,1.0,0.0
erigon,EXP,11,0.0003435533903852108,0.001,0.950489672076718
erigon,GT,8,0.0,1.0,0.0
erigon,JUMPI,11,0.0,1.0,-4.440892098500626e-16
erigon,LT,8,0.0,1.0,0.0
erigon,MSTORE,45,0.0,1.0,0.0
erigon,MSTORE8,45,0.0,1.0,0.0
erigon,MUL,10,0.0,1.0,0.0
erigon,PC,6,1.1505619430230117e-05,0.034,0.682570731840552
erigon,RETURNDATASIZE,24,1.013994812226412e-05,0.126,0.0645120022056741
erigon,SELFBALANCE,11,0.0,1.0,-2.220446049250313e-16
erigon,SUB,8,0.0,1.0,0.0
erigon,JUMP,10,0.0,1.0,0.0
erigon,KECCAK256,176,1.4616583596989884e-05,0.002,0.041968113964602094
ethrex,ISZERO,120,0.0,1.0,-4.440892098500626e-16
ethrex,JUMPDEST,30,0.0,1.0,2.220446049250313e-16
ethrex,SWAP,2145,0.0,1.0,0.0
ethrex,CALLDATASIZE,7530,6.244127578446482e-06,0.001,0.16548022705877552
ethrex,DUP,7530,0.0,1.0,0.16548022705877552
ethrex,GAS,7530,7.197693826993831e-06,0.001,0.16548022705877552
ethrex,MLOAD,7530,5.308068583043437e-06,0.001,0.16548022705877552
ethrex,PUSH,7530,0.0,1.0,0.16548022705877552
ethrex,PUSH0,7530,1.5587891186795243e-06,0.004,0.16548022705877552
ethrex,STATICCALL,7530,0.0,1.0,0.16548022705877552
ethrex,ADD,135,0.0,1.0,0.0
ethrex,AND,120,0.0,1.0,0.0
ethrex,CALLDATACOPY,3525,0.0,1.0,-2.220446049250313e-16
ethrex,CALLDATALOAD,660,1.5245031652113734e-05,0.001,0.17405409941568717
ethrex,DIV,165,0.0,1.0,2.220446049250313e-16
ethrex,EXP,165,0.0009091841129976627,0.001,0.8322550522890902
ethrex,GT,120,0.0,1.0,0.0
ethrex,JUMPI,165,0.0,1.0,2.220446049250313e-16
ethrex,LT,120,0.0,1.0,0.0
ethrex,MSTORE,675,0.0,1.0,0.0
ethrex,MSTORE8,675,0.0,1.0,-2.220446049250313e-16
ethrex,MUL,150,0.0,1.0,0.0
ethrex,PC,90,4.935825936434985e-06,0.001,0.3918807179487236
ethrex,RETURNDATASIZE,360,7.743011447527004e-06,0.001,0.3799674256972626
ethrex,SELFBALANCE,165,0.0,1.0,0.0
ethrex,SUB,120,0.0,1.0,-2.220446049250313e-16
ethrex,JUMP,150,0.0,1.0,0.0
ethrex,KECCAK256,2640,0.0,1.0,0.0
geth,ISZERO,544,0.0,1.0,0.0
geth,JUMPDEST,136,0.0,1.0,0.0
geth,SWAP,9724,0.0,1.0,1.1102230246251565e-16
geth,CALLDATASIZE,34213,4.3768034040243186e-06,0.001,0.027732866114799526
geth,DUP,34213,0.0,1.0,0.027732866114799526
geth,GAS,34213,5.666937829209593e-06,0.001,0.027732866114799526
geth,MLOAD,34213,7.8402839219283e-06,0.001,0.027732866114799526
geth,PUSH,34213,0.0,1.0,0.027732866114799526
geth,PUSH0,34213,0.0,1.0,0.027732866114799526
geth,STATICCALL,34213,5.773248629309979e-05,0.001,0.027732866114799526
geth,ADD,612,0.0,1.0,0.0
geth,AND,544,0.0,1.0,0.0
geth,CALLDATACOPY,15980,0.0,1.0,0.0
