gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.020548882719155927,0.01946480119989588,0.021656882596445434,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,2054.8882719155927,2055
COLD_STORAGE_WRITE,erigon,0.16841486878456163,0.16287888868126527,0.17392467676312443,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,16841.486878456166,16842
WARM_ACCESS,nethermind,0.0003130149413558925,0.00027126951907385273,0.0003542467190792243,test_ext_account_query_warm,DELEGATECALL,target_coef,8.657590449854605e-06,,,DELEGATECALL,31.30149413558925,32
COLD_ACCOUNT_NOCODE_ACCESS,geth,0.020373622084639186,0.01931860248313873,0.02164183576579579,test_account_access,STATICCALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,STATICCALL,2037.3622084639187,2038
COLD_ACCOUNT_NOCODE_WRITE,erigon,0.33666803869328776,0.3267265533550274,0.34710545852657604,test_account_access,CALL,target_coef,2.3011238860460234e-05,AccountMode.NON_EXISTING_ACCOUNT,,CALL,33666.803869328774,33667
COLD_ACCOUNT_CODE_ACCESS,geth,0.027456004487630175,0.02514473204589507,0.02984063757139975,test_account_access,EXTCODECOPY,target_coef,0.0,AccountMode.EXISTING_CONTRACT_DIFF_MAX,,EXTCODECOPY,2745.6004487630175,2746
COLD_ACCOUNT_CODE_WRITE,geth,0.08285608393585311,0.07212758375399111,0.09084625666685495,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT_MINIMAL,,CALL,8285.608393585311,8286
STORAGE_WRITE,,,,,,,,0.0,,,,14787.0,14787
ACCOUNT_WRITE,,,,,,,,0.0,,,,31629.0,31629
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,16168.32,16169
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,2055.0,2055
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,2746.0,2746
