client_name,glue_opcode,nobs,glue_runtime_ms,p_value,rsquared
besu,ISZERO,187,6.058373491029399e-06,0.001,0.9865585961644852
besu,JUMPDEST,187,1.535508798147763e-06,0.001,0.9879856020131907
besu,SWAP,2992,3.533554954827996e-06,0.001,0.9571739810825339
besu,CALLDATASIZE,11077,4.943219283888641e-06,0.001,0.9840194708644142
besu,DUP,11077,2.3828616193475544e-06,0.001,0.9840194708644142
besu,GAS,11077,4.105694016282164e-06,0.001,0.9840194708644142
besu,MLOAD,11077,1.3014640770429268e-05,0.001,0.9840194708644142
besu,PUSH,11077,3.4348323874180594e-06,0.001,0.9840194708644142
besu,PUSH0,11077,2.0675637847802006e-06,0.001,0.9840194708644142
besu,STATICCALL,11077,0.001185553208743763,0.001,0.9840194708644142
besu,ADD,187,1.4836798261286135e-05,0.001,0.9865469986137502
besu,AND,187,1.0788792277481023e-05,0.001,0.9769300320698939
besu,CALLDATACOPY,4488,2.3629262222359095e-05,0.001,0.722117045158137
besu,CALLDATALOAD,748,2.607842606171619e-05,0.001,0.019934753202460853
besu,DIV,187,1.9194862051167577e-05,0.001,0.9577574575771989
besu,EXP,187,0.002233895631553525,0.001,0.965687583589208
besu,GT,187,4.482881441203664e-05,0.001,0.9833266609540685
besu,JUMPI,187,8.797317809293499e-06,0.001,0.9617094056564963
besu,LT,187,4.648945578410136e-05,0.001,0.715916313926916
besu,MSTORE,935,2.8211765174537997e-05,0.001,0.975828282317407
besu,MSTORE8,935,1.4755101527101933e-05,0.001,0.9834298060158189
besu,MUL,187,1.5294833296665353e-05,0.001,0.9085387481718831
besu,PC,187,5.157493418834662e-06,0.001,0.9908730690861048
besu,RETURNDATASIZE,748,7.124474734466164e-06,0.001,0.9786109075404674
besu,SELFBALANCE,187,2.0849311723090262e-05,0.001,0.9835173406330066
besu,SUB,187,1.5389130127553536e-05,0.001,0.9922013098007678
besu,JUMP,187,3.7879636560988065e-05,0.001,0.9911097433082834
besu,KECCAK256,2992,5.315182964016845e-05,0.001,0.13094900308214252
erigon,ISZERO,165,1.7331145567054582e-06,0.001,0.9850127097573687
erigon,JUMPDEST,165,1.4122112124980825e-06,0.001,0.9712842278099583
erigon,SWAP,2640,1.9802814930382397e-06,0.001,0.9208202209139795
erigon,CALLDATASIZE,9768,1.6164641375775229e-06,0.001,0.9132517053456863
erigon,DUP,9768,2.006269738283452e-06,0.001,0.9132517053456863
erigon,GAS,9768,1.6247926220377724e-06,0.001,0.9132517053456863
erigon,MLOAD,9768,5.528098784134784e-06,0.001,0.9132517053456863
erigon,PUSH,9768,2.986350567017731e-06,0.001,0.9132517053456863
erigon,PUSH0,9768,1.580598699580889e-06,0.001,0.9132517053456863
erigon,STATICCALL,9768,6.882617957396415e-05,0.001,0.9132517053456863
erigon,ADD,165,3.945972108197275e-06,0.001,0.9793506594999878
erigon,AND,165,3.801771406786444e-06,0.001,0.9676698062096197
erigon,CALLDATACOPY,3960,1.0769919944132258e-05,0.001,0.9798808261134622
erigon,CALLDATALOAD,660,7.095028960822617e-05,0.001,0.152380098358601
erigon,DIV,165,1.4698646347566417e-05,0.001,0.9717608994672474
erigon,EXP,165,0.0006899848890514596,0.001,0.9803130886407587
erigon,GT,165,3.7944960512612707e-06,0.001,0.8750434244304948
erigon,JUMPI,165,4.92489378079887e-06,0.001,0.9536991815634622
erigon,LT,165,3.7533904203415973e-06,0.001,0.8828502251094019
erigon,MSTORE,825,7.904353866327023e-06,0.001,0.9445332043339342
erigon,MSTORE8,825,7.475856147704252e-06,0.001,0.9588448316262453
erigon,MUL,165,6.071325640208493e-06,0.001,0.8966257007514392
erigon,PC,165,1.7675484488800382e-06,0.001,0.9813165234965294
erigon,RETURNDATASIZE,660,3.0067164664728885e-06,0.001,0.9601219065047742
erigon,SELFBALANCE,165,1.9452540032414386e-06,0.001,0.9755287496810933
erigon,SUB,165,3.9091820485343125e-06,0.001,0.9456305006179883
erigon,JUMP,165,9.393817494472847e-06,0.001,0.9530815331982057
erigon,KECCAK256,2640,2.9156512791093096e-05,0.001,0.08566800657768048
ethrex,ISZERO,44,8.357181723996269e-07,0.001,0.9112470885748989
ethrex,JUMPDEST,44,5.220669986852388e-07,0.001,0.9288154934532264
ethrex,SWAP,704,8.77809113505422e-07,0.001,0.8810352932877791
ethrex,CALLDATASIZE,2629,6.711508902129682e-07,0.001,0.9493460094293978
ethrex,DUP,2629,7.260652806774116e-07,0.001,0.9493460094293978
ethrex,GAS,2629,7.04374078384653e-07,0.001,0.9493460094293978
ethrex,MLOAD,2629,1.676996979675632e-06,0.001,0.9493460094293978
ethrex,PUSH,2629,8.480119718850519e-07,0.001,0.9493460094293978
ethrex,PUSH0,2629,6.558903753987719e-07,0.001,0.9493460094293978
ethrex,STATICCALL,2629,0.0001231964996927592,0.001,0.9493460094293978
ethrex,ADD,44,1.7110499211301182e-06,0.001,0.9091810602733813
ethrex,AND,44,1.2980236791400128e-06,0.001,0.9356824494711987
ethrex,CALLDATACOPY,1056,3.937111207793391e-06,0.001,0.935120755716903
ethrex,CALLDATALOAD,176,2.2363507510914478e-05,0.001,0.21279887789974106
ethrex,DIV,44,1.3288725048283289e-05,0.001,0.965390936396675
ethrex,EXP,44,0.001768947974705035,0.001,0.9832360606476163
ethrex,GT,44,1.7383522668018778e-06,0.001,0.9417933472137675
ethrex,JUMPI,44,2.0795637911707623e-06,0.001,0.9154735261043387
ethrex,LT,44,1.7525021468528316e-06,0.001,0.9580106527895095
ethrex,MSTORE,220,2.5570648941999916e-06,0.001,0.9473393561015812
ethrex,MSTORE8,220,2.6381897443103136e-06,0.001,0.9479302118939612
